ts,temperature,humidity,pressure,voltage,cpu_usage,anomaly_flags,source,note,owner_email
2026-05-22T00:00:00Z,25.2789,67.3074,1014.3687,12.0389,48.6102,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,壓力偏低,admin@example.com
2026-05-22T00:30:00Z,24.4734,69.0737,1013.8343,12.0452,48.2525,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,維護後恢復記錄,admin@example.com
2026-05-22T01:00:00Z,26.028,70.3485,1014.5655,12.0608,47.8659,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T01:30:00Z,89.6349,68.3167,1014.519,12.0601,48.4062,"{""temperature"": true, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,溫度過高異常,admin@example.com
2026-05-22T02:00:00Z,25.3727,69.3098,1014.335,12.0686,49.5543,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,濕度偏高,admin@example.com
2026-05-22T02:30:00Z,26.5107,71.7711,1014.3132,12.0823,53.7263,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,電壓過低警示,admin@example.com
2026-05-22T03:00:00Z,26.8486,70.7615,1013.5831,4.6197,51.1938,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": true, ""cpu_usage"": false}",user,電壓過低警示,admin@example.com
2026-05-22T03:30:00Z,26.3982,68.3877,1013.9789,12.0949,52.2743,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,維護後恢復記錄,admin@example.com
2026-05-22T04:00:00Z,27.4924,70.807,1014.718,12.076,95.2048,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": true}",user,CPU 高負載,admin@example.com
2026-05-22T04:30:00Z,26.8396,69.8403,1013.8154,12.1131,55.2155,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,電壓過低警示,admin@example.com
2026-05-22T05:00:00Z,28.2101,71.0623,1013.655,12.0795,53.3461,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,維護後恢復記錄,admin@example.com
2026-05-22T05:30:00Z,28.4999,70.1698,1014.5512,12.088,54.7232,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T06:00:00Z,28.0818,68.3914,1013.3103,12.1098,55.1419,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T06:30:00Z,27.7475,70.0492,1013.6681,12.1195,52.8229,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,廠房A早班量測,admin@example.com
2026-05-22T07:00:00Z,28.6786,68.1986,1013.1747,12.1057,55.5603,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,排程自動記錄,admin@example.com
2026-05-22T07:30:00Z,28.9847,69.5533,1014.7055,12.1109,51.9439,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T08:00:00Z,28.3621,69.4126,1013.2036,12.0993,52.3423,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,濕度偏高,admin@example.com
2026-05-22T08:30:00Z,26.9815,69.9601,1014.0143,12.109,55.9488,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,廠房B夜班量測,admin@example.com
2026-05-22T09:00:00Z,28.6626,68.0525,1013.7564,12.0903,51.9063,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T09:30:00Z,27.9177,69.7414,1013.4416,12.0611,52.4568,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,電壓過低警示,admin@example.com
2026-05-22T10:00:00Z,28.4853,69.704,1012.8973,12.0581,55.2162,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T10:30:00Z,26.7609,68.0551,1012.3214,12.0804,53.8966,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,濕度偏高,admin@example.com
2026-05-22T11:00:00Z,28.3192,66.4903,1013.1385,12.0682,54.3625,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T11:30:00Z,27.7476,68.294,1013.4091,12.0535,51.8071,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,壓力偏低,admin@example.com
2026-05-22T12:00:00Z,26.9294,66.2185,1012.0113,12.0319,50.2322,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,廠房A早班量測,admin@example.com
2026-05-22T12:30:00Z,25.9374,67.4327,1012.2415,12.0608,51.1349,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,維護後恢復記錄,admin@example.com
2026-05-22T13:00:00Z,26.1035,66.522,1012.763,12.0471,50.2823,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,維護後恢復記錄,admin@example.com
2026-05-22T13:30:00Z,26.8514,67.4747,1011.967,12.0159,46.5342,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,濕度偏高,admin@example.com
2026-05-22T14:00:00Z,26.7326,64.1197,1012.7958,12.0319,43.2269,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,,admin@example.com
2026-05-22T14:30:00Z,26.3189,63.9939,1011.7761,12.0221,42.5823,"{""temperature"": false, ""humidity"": false, ""pressure"": false, ""voltage"": false, ""cpu_usage"": false}",user,濕度偏高,admin@example.com
